patch_id,max_abs_diff_z,max_abs_diff_obj,abs_diff_residual,baseline_iters,opt_iters,iter_match,baseline_accepted,opt_accepted,accepted_match,baseline_stop,opt_stop,stop_match
0,1.114e-13,4.572e-11,8.993e-15,150,150,True,150,150,True,max_iter_reached,max_iter_reached,True
1,1.110e-15,8.882e-15,0.000e+00,150,150,True,150,150,True,max_iter_reached,max_iter_reached,True
2,1.421e-14,1.874e-11,8.882e-16,150,150,True,150,150,True,max_iter_reached,max_iter_reached,True
3,1.776e-15,1.776e-15,0.000e+00,150,150,True,150,150,True,max_iter_reached,max_iter_reached,True
4,2.665e-15,3.375e-14,2.220e-16,150,150,True,150,150,True,max_iter_reached,max_iter_reached,True
5,1.776e-15,7.105e-15,5.551e-16,150,150,True,150,150,True,max_iter_reached,max_iter_reached,True
6,9.576e-15,2.178e-11,9.992e-16,150,150,True,150,150,True,max_iter_reached,max_iter_reached,True
7,2.626e-14,4.030e-11,7.661e-15,150,150,True,150,150,True,max_iter_reached,max_iter_reached,True
8,6.362e-14,2.296e-11,1.887e-15,150,150,True,150,150,True,max_iter_reached,max_iter_reached,True
9,2.665e-15,7.994e-15,8.882e-16,150,150,True,150,150,True,max_iter_reached,max_iter_reached,True
10,7.772e-16,2.665e-15,2.220e-16,150,150,True,150,150,True,max_iter_reached,max_iter_reached,True
11,8.882e-16,1.421e-14,2.220e-16,150,150,True,150,150,True,max_iter_reached,max_iter_reached,True
12,8.882e-16,1.954e-14,1.110e-16,150,150,True,150,150,True,max_iter_reached,max_iter_reached,True
13,1.776e-15,2.753e-14,2.220e-16,150,150,True,150,150,True,max_iter_reached,max_iter_reached,True
14,1.989e-12,5.457e-10,1.876e-13,150,150,True,150,150,True,max_iter_reached,max_iter_reached,True
15,8.882e-16,3.553e-15,2.220e-16,150,150,True,150,150,True,max_iter_reached,max_iter_reached,True
16,9.548e-14,5.483e-11,1.110e-15,150,150,True,150,150,True,max_iter_reached,max_iter_reached,True
17,2.665e-15,6.661e-14,3.331e-16,150,150,True,150,150,True,max_iter_reached,max_iter_reached,True
18,6.273e-15,1.659e-11,2.220e-16,150,150,True,150,150,True,max_iter_reached,max_iter_reached,True
19,1.776e-15,8.171e-14,4.441e-16,150,150,True,150,150,True,max_iter_reached,max_iter_reached,True
